1,2,3.0,8
1,3,1.6,6
1,4,3.0,8
1,5,2.5,7
1,6,4.4,13
1,7,4.8,14
1,8,1.7,6
1,9,4.7,11
1,10,9.0,19
2,1,2.9,9
2,3,1.8,6
2,4,6.1,16
2,5,5.3,15
2,6,6.5,19
2,7,6.7,16
2,8,1.9,6
2,9,7.2,18
2,10,11.1,25
3,1,1.3,5
3,2,2.1,6
3,4,4.5,12
3,5,3.7,11
3,6,4.8,15
3,7,4.4,15
3,8,0.6,3
3,9,5.6,14
3,10,9.4,20
4,1,3.5,10
4,2,6.2,16
4,3,4.7,13
4,5,1.0,4
4,6,7.5,21
4,7,7.9,22
4,8,4.9,14
4,9,6.2,13
4,10,12.1,26
5,1,2.7,8
5,2,5.4,14
5,3,3.9,12
5,4,0.7,3
5,6,6.7,19
5,7,7.1,20
5,8,4.1,12
5,9,5.7,13
5,10,11.3,25
6,1,4.2,13
6,2,6.1,18
6,3,4.4,13
6,4,7.1,21
6,5,6.7,20
6,7,0.6,3
6,8,4.7,13
6,9,8.8,23
6,10,8.1,15
7,1,4.7,14
7,2,6.7,15
7,3,4.2,13
7,4,7.6,21
7,5,7.1,20
7,6,0.6,2
7,8,4.0,12
7,9,9.2,24
7,10,8.6,16
8,1,1.7,7
8,2,1.9,5
8,3,0.3,2
8,4,4.8,14
8,5,4.1,13
8,6,4.7,14
8,7,4.0,13
8,9,5.9,16
8,10,9.2,21
9,1,4.9,12
9,2,7.4,18
9,3,6.0,15
9,4,5.9,14
9,5,5.7,14
9,6,8.9,24
9,7,9.4,25
9,8,6.1,16
9,10,13.5,29
10,1,8.6,19
10,2,10.5,24
10,3,8.8,19
10,4,11.5,27
10,5,11.0,25
10,6,7.9,15
10,7,8.4,16
10,8,8.9,20
10,9,13.1,29
11,12,12.4,16
11,13,6.1,12
11,14,10.5,18
11,15,31.6,37
12,11,12.9,18
12,13,19.2,26
12,14,23.6,32
12,15,18.8,21
13,11,5.4,11
13,12,19.2,27
13,14,7.0,14
13,15,38.4,47
14,11,9.7,17
14,12,23.5,33
14,13,7.0,13
14,15,42.7,53
15,11,32.0,38
15,12,18.7,20
15,13,38.3,47
15,14,42.7,53